origin,city,lat,long,num_flights,delay,,,,
ABE,"Allentown/Bethlehem/Easton, PA",40.6521,-75.4408,2369,14,,,,
ABI,"Abilene, TX",32.4113,-99.6819,161,14,,,,
ABQ,"Albuquerque, NM",35.0402,-106.609,18967,11,,,,
ABR,"Aberdeen, SD",45.4491,-98.4218,743,10,,,,
ABY,"Albany, GA",31.5355,-84.1945,1002,12,,,,
ACK,"Nantucket, MA",41.2531,-70.0602,612,19,,,,
ACT,"Waco, TX",31.6113,-97.2305,1419,13,,,,
ACV,"Arcata/Eureka, CA",40.9781,-124.109,1417,17,,,,
ACY,"Atlantic City, NJ",39.4576,-74.5772,3693,16,,,,
ADK,"Adak Island, AK",51.878,-176.646,104,8,,,,
ADQ,"Kodiak, AK",57.75,-152.494,542,5,,,,
AEX,"Alexandria, LA",31.3274,-92.5498,2860,13,,,,
AGS,"Augusta, GA",33.3699,-81.9645,2641,14,,,,
AKN,"King Salmon, AK",58.6768,-156.649,63,7,,,,
ALB,"Albany, NY",42.7483,-73.8017,9349,10,,,,
AMA,"Amarillo, TX",35.2194,-101.706,3075,7,,,,
ANC,"Anchorage, AK",61.1744,-149.996,17254,5,,,,
APN,"Alpena, MI",45.0781,-83.5603,642,17,,,,
ASE,"Aspen, CO",39.2232,-106.869,4608,17,,,,
ATL,"Atlanta, GA",33.6367,-84.4281,384375,11,,,,
ATW,"Appleton, WI",44.2581,-88.5191,3380,9,,,,
AUS,"Austin, TX",30.1945,-97.6699,46266,11,,,,
AVL,"Asheville, NC",35.4362,-82.5418,3396,16,,,,
AVP,"Scranton/Wilkes-Barre, PA",41.3385,-75.7234,1668,11,,,,
AZO,"Kalamazoo, MI",42.2349,-85.5521,2078,12,,,,
BDL,"Hartford, CT",41.9389,-72.6832,20317,10,,,,
BET,"Bethel, AK",60.7798,-161.838,978,3,,,,
BFF,"Scottsbluff, NE",41.874,-103.596,1,40,,,,
BFL,"Bakersfield, CA",35.4336,-119.057,2603,11,,,,
BGM,"Binghamton, NY",42.2087,-75.9798,877,14,,,,
BGR,"Bangor, ME",44.8074,-68.8281,609,15,,,,
BHM,"Birmingham, AL",33.5629,-86.7535,12300,11,,,,
BIL,"Billings, MT",45.8077,-108.543,3412,6,,,,
BIS,"Bismarck/Mandan, ND",46.7727,-100.746,2380,12,,,,
BJI,"Bemidji, MN",47.5094,-94.9337,730,11,,,,
BLI,"Bellingham, WA",48.7928,-122.538,606,8,,,,
BMI,"Bloomington/Normal, IL",40.4771,-88.9159,1517,10,,,,
BNA,"Nashville, TN",36.1245,-86.6782,51667,11,,,,
BOI,"Boise, ID",43.5644,-116.223,14706,10,,,,
BOS,"Boston, MA",42.3643,-71.0052,121260,12,,,,
BPT,"Beaumont/Port Arthur, TX",29.9508,-94.0207,545,21,,,,
BQK,"Brunswick, GA",31.2588,-81.4665,1032,13,,,,
BQN,"Aguadilla, PR",18.4949,-67.1294,1872,15,,,,
BRD,"Brainerd, MN",46.3983,-94.1381,640,10,,,,
BRO,"Brownsville, TX",25.9068,-97.4259,2043,11,,,,
BRW,"Barrow, AK",71.2854,-156.766,940,5,,,,
BTM,"Butte, MT",45.9548,-112.497,677,9,,,,
BTR,"Baton Rouge, LA",30.5332,-91.1496,6901,16,,,,
BTV,"Burlington, VT",44.4719,-73.1533,4046,15,,,,
BUF,"Buffalo, NY",42.9405,-78.7322,18021,11,,,,
BUR,"Burbank, CA",34.2007,-118.359,22525,10,,,,
BWI,"Baltimore, MD",39.1754,-76.6683,96218,11,,,,
BZN,"Bozeman, MT",45.7775,-111.153,4251,10,,,,
CAE,"Columbia, SC",33.9388,-81.1195,4434,15,,,,
CAK,"Akron, OH",40.9161,-81.4422,5318,12,,,,
CDC,"Cedar City, UT",37.701,-113.099,626,6,,,,
CDV,"Cordova, AK",60.4918,-145.478,724,5,,,,
CHA,"Chattanooga, TN",35.0353,-85.2038,4593,16,,,,
CHO,"Charlottesville, VA",38.1386,-78.4529,2404,18,,,,
CHS,"Charleston, SC",32.8986,-80.0405,14677,12,,,,
CID,"Cedar Rapids/Iowa City, IA",41.8847,-91.7108,4456,12,,,,
CIU,"Sault Ste. Marie, MI",46.2508,-84.4724,686,18,,,,
CLE,"Cleveland, OH",41.4117,-81.8498,34111,12,,,,
CLL,"College Station/Bryan, TX",30.5886,-96.3638,1134,9,,,,
CLT,"Charlotte, NC",35.214,-80.9431,110676,11,,,,
CMH,"Columbus, OH",39.998,-82.8919,23142,10,,,,
