day_of_week_num,day_of_week,dep_time_period,avg_dep_delay
1,Monday,0001-0559,7.8
1,Monday,0600-0659,6.6
1,Monday,0700-0759,7.1
1,Monday,0800-0859,8.3
1,Monday,0900-0959,9.2
1,Monday,1000-1059,10.1
1,Monday,1100-1159,10.7
1,Monday,1200-1259,11.7
1,Monday,1300-1359,12.2
1,Monday,1400-1459,13.6
1,Monday,1500-1559,14.2
1,Monday,1600-1659,15
1,Monday,1700-1759,16.1
1,Monday,1800-1859,17.4
1,Monday,1900-1959,16.8
1,Monday,2000-2059,17.1
1,Monday,2100-2159,14.8
1,Monday,2200-2259,14.2
1,Monday,2300-2359,14
2,Tuesday,0001-0559,6.2
2,Tuesday,0600-0659,5
2,Tuesday,0700-0759,5.9
2,Tuesday,0800-0859,6.6
2,Tuesday,0900-0959,7.7
2,Tuesday,1000-1059,8.8
2,Tuesday,1100-1159,8.8
2,Tuesday,1200-1259,10.1
2,Tuesday,1300-1359,10.9
2,Tuesday,1400-1459,12.1
2,Tuesday,1500-1559,13.2
2,Tuesday,1600-1659,14.8
2,Tuesday,1700-1759,15.5
2,Tuesday,1800-1859,16.5
2,Tuesday,1900-1959,16.8
2,Tuesday,2000-2059,16.3
2,Tuesday,2100-2159,14.7
2,Tuesday,2200-2259,14.3
2,Tuesday,2300-2359,12.9
3,Wednesday,0001-0559,5.7
3,Wednesday,0600-0659,5
3,Wednesday,0700-0759,5.6
3,Wednesday,0800-0859,6.5
3,Wednesday,0900-0959,7.4
3,Wednesday,1000-1059,8.3
3,Wednesday,1100-1159,8.6
3,Wednesday,1200-1259,10.1
3,Wednesday,1300-1359,11
3,Wednesday,1400-1459,12.1
3,Wednesday,1500-1559,12.7
3,Wednesday,1600-1659,13.5
3,Wednesday,1700-1759,14.9
3,Wednesday,1800-1859,15.5
3,Wednesday,1900-1959,15.8
3,Wednesday,2000-2059,15.9
3,Wednesday,2100-2159,13.8
3,Wednesday,2200-2259,12.7
3,Wednesday,2300-2359,12.3
4,Thursday,0001-0559,5.6
4,Thursday,0600-0659,5
4,Thursday,0700-0759,5.8
4,Thursday,0800-0859,6.9
4,Thursday,0900-0959,8.1
4,Thursday,1000-1059,9.2
4,Thursday,1100-1159,9.8
4,Thursday,1200-1259,11.6
4,Thursday,1300-1359,12.6
4,Thursday,1400-1459,14.2
4,Thursday,1500-1559,15.3
4,Thursday,1600-1659,16.9
4,Thursday,1700-1759,18.2
4,Thursday,1800-1859,20
4,Thursday,1900-1959,20.3
4,Thursday,2000-2059,20.4
4,Thursday,2100-2159,19.1
4,Thursday,2200-2259,16.3
4,Thursday,2300-2359,16.8
5,Friday,0001-0559,6.9
5,Friday,0600-0659,5.6
5,Friday,0700-0759,6.6
5,Friday,0800-0859,7.7
5,Friday,0900-0959,8.9
5,Friday,1000-1059,10.2
5,Friday,1100-1159,11
5,Friday,1200-1259,12.4
5,Friday,1300-1359,13.4
5,Friday,1400-1459,15.2
5,Friday,1500-1559,16
5,Friday,1600-1659,17.4
5,Friday,1700-1759,18.3
5,Friday,1800-1859,19.6
5,Friday,1900-1959,19.3
5,Friday,2000-2059,19.8
5,Friday,2100-2159,18.3
5,Friday,2200-2259,15.5
5,Friday,2300-2359,16.8
6,Saturday,0001-0559,8
6,Saturday,0600-0659,6
6,Saturday,0700-0759,6.8
6,Saturday,0800-0859,7.4
6,Saturday,0900-0959,8.4
6,Saturday,1000-1059,9.3
6,Saturday,1100-1159,10
6,Saturday,1200-1259,11.3
6,Saturday,1300-1359,11.5
6,Saturday,1400-1459,12.8
6,Saturday,1500-1559,13.1
6,Saturday,1600-1659,13.8
6,Saturday,1700-1759,14.2
6,Saturday,1800-1859,15.7
6,Saturday,1900-1959,15.3
6,Saturday,2000-2059,15.9
6,Saturday,2100-2159,15.6
6,Saturday,2200-2259,12.2
6,Saturday,2300-2359,12.6
7,Sunday,0001-0559,7.7
7,Sunday,0600-0659,6.3
7,Sunday,0700-0759,6.4
7,Sunday,0800-0859,6.9
7,Sunday,0900-0959,7.8
7,Sunday,1000-1059,8.4
7,Sunday,1100-1159,9.1
7,Sunday,1200-1259,10.3
7,Sunday,1300-1359,11.5
7,Sunday,1400-1459,12.7
7,Sunday,1500-1559,13.5
7,Sunday,1600-1659,15
7,Sunday,1700-1759,16.5
7,Sunday,1800-1859,17.8
7,Sunday,1900-1959,18.1
7,Sunday,2000-2059,18.6
7,Sunday,2100-2159,17.2
7,Sunday,2200-2259,15.4
7,Sunday,2300-2359,15.4
